Route,Template,StatesInspected,Viewports,Evidence,InspectionStatus
/,Home (Storefront),Default / Hover / Active / ReducedMotion,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/collectible-design,Collection Portal (Large Furniture),Default / Empty / CardHover / Filtered,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/memory-art,Collection Portal (Preservation),Default / Empty / CardHover,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/personal-art,Collection Portal (Gifts & Keepsakes),Default / Empty / CardHover,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/pieces/[slug],Product Detail & Gallery,Default / ZoomModal / ThumbnailSwitch / ErrorFallback,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/pieces/[slug]/customize,Product-Specific Customization,Default / StepProgression / ValidationErrors / ReferenceUpload,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/commission,Commission Entry,Default / BespokeEntry / CollectionLinks,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/commission/customize,Bespoke Customizer,Default / CustomBriefForm / ReferenceUpload,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/preserve,Preservation Entry Point,Default / CollectionFeature / BespokePrompt,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/personalize,Personalization Entry Point,Default / CollectionFeature / GiftingPrompt,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/search,Catalogue Search & Filters,Default / QueryResults / EmptyState / FilterSelect,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
/portfolio,Portfolio Showcase,Default / ProjectGrid / CaseStudies,360px; 390px; 768px; 1024px; 1440px; 1920px,Observed in code & runtime HTTP test,Inspected
