Slot,File,AspectRatio,Classification,Dimensions,Bytes,AssociatedID,Role
Hero Desktop Landscape,/media/product-scene-001-16x9.webp,16:9,AI_SCENE,1920x1080,284552,HERO-01,Primary Homepage Hero Scene
Hero Mobile Portrait,/media/product-hero-001-4x5.webp,4:5,AI_CONCEPT,2048x2560,170072,HERO-01,Primary Homepage Mobile Hero
Doorway 01 Collectible,/media/product-hero-001-4x5.webp,4:5,AI_CONCEPT,2048x2560,170072,COL-01,Furniture & Spatial Art Card
Doorway 02 Memory,/media/product-hero-020-4x5.webp,4:5,AI_CONCEPT,2048x2560,197232,COL-02,Botanical & Memory Art Card
Doorway 03 Gifts,/media/product-hero-029-4x5.webp,4:5,AI_CONCEPT,2048x2560,225128,COL-03,Personal Art & Gifts Card
Material Editorial Macro,/media/product-hero-026-4x5.webp,4:5,AI_CONCEPT,2048x2560,245526,MAT-01,Material Craft Feature
Process Scene 01,/media/product-scene-003-16x9.webp,16:9,AI_SCENE,1920x1080,231328,PROC-01,Atelier Workshop Landscape
Process Scene 02,/media/product-scene-005-16x9.webp,16:9,AI_SCENE,1920x1080,205688,PROC-02,Casting & Curing Landscape
Original Concept Basin,/media/concepts/basin.avif,4:5,ORIGINAL_AVIF,560x700,7007,ORIG-01,Original Basin Concept
Original Concept Riverline,/media/concepts/riverline.avif,4:5,ORIGINAL_AVIF,560x700,7732,ORIG-02,Original Riverline Concept
Catalogue Primary,/media/generated/dp113-chaptermark-flower-bookmark-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,149738,DP120,Product Primary Visual
Catalogue Primary,/media/generated/dp119-promise-mini-ring-dish-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,167170,DP119,Product Primary Visual
Catalogue Primary,/media/generated/dp118-pocketworld-paperweight-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,842738,DP118,Product Primary Visual
Catalogue Primary,/media/generated/dp116-still-form-catch-all-bowl-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,129990,DP116,Product Primary Visual
Catalogue Primary,/media/generated/dp115-palm-mini-serving-tray-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,170986,DP117,Product Primary Visual
Catalogue Primary,/media/generated/dp117-twinleaf-mini-bookends-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,192734,DP115,Product Primary Visual
Catalogue Primary,/media/generated/dp110-petal-drop-earrings-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,217150,DP112,Product Primary Visual
Catalogue Primary,/media/generated/dp112-initial-story-keychain-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,249386,DP113,Product Primary Visual
Catalogue Primary,/media/generated/dp120-little-archive-keepsake-box-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,194952,DP110,Product Primary Visual
Catalogue Primary,/media/generated/dp111-thread-of-light-resin-rakhi-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,193308,DP111,Product Primary Visual
Catalogue Primary,/media/generated/dp106-festival-memory-plaque-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,158910,DP108,Product Primary Visual
Catalogue Primary,/media/generated/dp109-botanical-resin-pendant-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,133334,DP109,Product Primary Visual
Catalogue Primary,/media/generated/dp105-blessing-pooja-display-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,148098,DP106,Product Primary Visual
Catalogue Primary,/media/generated/dp108-little-bloom-memory-frame-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,98252,DP105,Product Primary Visual
Catalogue Primary,/media/generated/dp104-welcome-botanical-nameplate-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,170492,DP104,Product Primary Visual
Catalogue Primary,/media/generated/dp101-together-couple-memory-frame-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,89366,DP102,Product Primary Visual
Catalogue Primary,/media/generated/dp102-anniversary-story-display-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,155196,DP101,Product Primary Visual
Catalogue Primary,/media/generated/dp100-our-chapter-wedding-card-block-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,158534,DP100,Product Primary Visual
Catalogue Primary,/media/generated/dp098-bloom-paired-ring-dishes-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,139406,DP098,Product Primary Visual
Catalogue Primary,/media/generated/dp097-gather-celebration-tray-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,134190,DP097,Product Primary Visual
Catalogue Primary,/media/generated/dp094-moment-preserved-flower-clock-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,149622,DP096,Product Primary Visual
Catalogue Primary,/media/generated/dp096-promise-ring-platter-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,169462,DP094,Product Primary Visual
Catalogue Primary,/media/generated/dp092-petal-hour-round-clock-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,86216,DP093,Product Primary Visual
Catalogue Primary,/media/generated/dp090-memory-garden-flower-shadowbox-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,163548,DP092,Product Primary Visual
Catalogue Primary,/media/generated/dp089-aster-single-bloom-keepsake-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,127982,DP090,Product Primary Visual
Catalogue Primary,/media/generated/dp087-petal-story-bouquet-frame-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,144528,DP089,Product Primary Visual
Catalogue Primary,/media/generated/dp088-meadow-wedding-flower-disc-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,196566,DP088,Product Primary Visual
Catalogue Primary,/media/generated/dp093-evergreen-botanical-desk-clock-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,227730,DP087,Product Primary Visual
Catalogue Primary,/media/generated/dp041-sienna-curved-console-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,204652,DP058,Product Primary Visual
Catalogue Primary,/media/generated/dp058-vertical-drop-wall-panel-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,226000,DP041,Product Primary Visual
Catalogue Primary,/media/generated/dp074-material-column-sculpture-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,206874,DP074,Product Primary Visual
Catalogue Primary,/media/generated/dp099-letterlight-invitation-frame-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,143056,DP099,Product Primary Visual
Catalogue Primary,/media/generated/dp071-cast-architectural-study-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,167548,DP071,Product Primary Visual
Catalogue Primary,/media/generated/dp107-first-chapter-baby-keepsake-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,61364,DP107,Product Primary Visual
Catalogue Primary,/media/generated/dp103-threshold-family-nameplate-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,67222,DP103,Product Primary Visual
Catalogue Primary,/media/generated/dp095-union-engagement-tray-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,81288,DP095,Product Primary Visual
Catalogue Primary,/media/generated/dp091-hourglass-floral-wall-clock-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,92478,DP091,Product Primary Visual
Catalogue Primary,/media/generated/dp083-bronzeleaf-display-plinth-set-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,154868,DP084,Product Primary Visual
Catalogue Primary,/media/generated/dp086-forever-solid-block-varmala-keepsake-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,107890,DP086,Product Primary Visual
Catalogue Primary,/media/generated/dp084-tidal-architectural-panel-installation-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,150234,DP083,Product Primary Visual
Catalogue Primary,/media/generated/dp082-stillwater-lobby-art-installation-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,108680,DP082,Product Primary Visual
Catalogue Primary,/media/generated/dp081-contour-hospitality-table-installation-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,201104,DP081,Product Primary Visual
Catalogue Primary,/media/generated/dp080-grove-resin-and-wood-screen-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,123422,DP080,Product Primary Visual
Catalogue Primary,/media/generated/dp079-monsoon-feature-wall-concept-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,150674,DP079,Product Primary Visual
Catalogue Primary,/media/generated/dp078-canopy-room-divider-concept-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,115714,DP078,Product Primary Visual
Catalogue Primary,/media/generated/dp076-arc-freestanding-resin-sculpture-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,106914,DP076,Product Primary Visual
Catalogue Primary,/media/generated/dp075-form-study-iii-sculpture-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,106576,DP075,Product Primary Visual
Catalogue Primary,/media/generated/dp073-form-study-ii-sculpture-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,92812,DP073,Product Primary Visual
Catalogue Primary,/media/generated/dp072-form-study-i-sculpture-portrait-4x5.webp,4:5,AI_CONCEPT,1122x1402,112060,DP072,Product Primary Visual
Catalogue Primary,/media/generated/dp070-parametric-floor-vessel-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,255862,DP070,Product Primary Visual
Catalogue Primary,/media/generated/dp039-meadow-floating-effect-console-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,244104,DP039,Product Primary Visual
Catalogue Primary,/media/generated/dp068-rivergrid-architectural-wall-set-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,219328,DP068,Product Primary Visual
Catalogue Primary,/media/generated/dp067-stonewave-oversized-wall-art-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,326466,DP067,Product Primary Visual
Catalogue Primary,/media/generated/dp066-amber-veil-wall-panel-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,189916,DP066,Product Primary Visual
Catalogue Primary,/media/generated/dp065-contour-flow-wall-relief-portrait-4x5.webp,4:5,AI_CONCEPT,2048x2560,215960,DP065,Product Primary Visual
